time,x,y,z
1754736439647,-0.05008173,0.19873369,-0.1802597
1754736439808,-0.09487605,0.08328915,-0.02775383
1754736439966,0.033311605,0.0515337,-0.055239677
1754736440127,-0.048439264,-0.034841776,-0.17107677
1754736440289,-0.11551523,0.14896882,0.023925781
1754736440446,-0.07767725,0.009865522,0.109641075
1754736440609,0.008430839,-0.032219887,-0.03457737
1754736440767,-0.13093877,-0.055179715,0.6748581
1754736440927,-0.16017747,0.022793531,1.1912642
1754736441090,0.13516879,0.035719395,2.470829
1754736441249,3.499975,-1.312891,-1.3891892
1754736441409,15.667458,0.9440944,-17.670984
1754736441577,55.56538,-7.26603,-9.682606
1754736441735,10.530076,-5.8784432,14.800282
1754736441891,2.9404392,-0.56543446,3.5948272
1754736442051,1.7713232,-0.09828484,-3.1921918
1754736442214,0.16156673,1.1219506,-3.1341214
1754736442370,-0.20784473,0.4552555,-0.9817734
1754736442530,0.6289506,-0.80852795,0.62668085
1754736442691,0.31935596,1.2014334,-0.09437847
1754736442850,-0.42939234,0.86128235,-0.89152527
1754736443015,-0.07979584,-0.27040434,-0.5645442
1754736443170,-0.17683315,0.009883404,-0.3169508
1754736443331,-0.122452736,-0.501513,0.17258501
1754736443492,0.033895493,-0.4276681,1.6274843
1754736443652,-1.29794,1.0146046,-0.17573357
1754736443814,-2.6195412,0.7974076,-1.6227231
1754736443973,-2.0146177,0.66526127,-2.8609643
1754736444133,0.49153376,0.747241,-2.5019224
1754736444292,1.9591289,-0.69410944,-0.75272703
1754736444455,1.105732,-1.3078642,1.331506
1754736444616,1.0076032,-4.050379,1.3137476
1754736444773,0.2062521,-0.24315548,1.3178604
1754736444935,-0.8097906,0.5212498,0.9737952
1754736445094,-0.111501694,-0.1374445,-0.4938041
1754736445254,-0.18392849,0.3067026,0.15439197
1754736445423,-0.34977293,-0.5220337,1.1207755
1754736445578,-0.7411289,-0.27919865,0.86207074
1754736445735,-0.096215725,-0.37796593,0.52803695
1754736445900,-0.24757051,-0.10480595,0.47448266
1754736446059,-0.246984,-0.4789343,0.74977875
1754736446220,-0.8398695,-0.36765957,0.785606
1754736446376,-1.081707,-0.27896404,0.79542315
1754736446535,-0.33943367,-0.06534195,-0.34246156
1754736446696,1.3970366,-0.35621166,0.7143113
1754736446857,-0.9533949,-0.27579403,1.3408438
1754736447019,-0.3901863,0.25915813,-1.8168603
1754736447177,0.71775675,0.025841713,-0.4056542
1754736447338,1.0187793,1.2774982,0.24948907
1754736447497,1.0267367,0.1590004,0.71926665
1754736447657,0.8968029,-0.051229954,0.6901411
1754736447823,0.47027588,-0.52364063,0.01975727
1754736447980,0.39438486,0.3109455,-0.019054055
1754736448138,0.3463645,0.583148,-0.3094555
1754736448299,0.55862045,0.29774952,-0.55387664
1754736448459,0.573082,0.7351718,-0.2613263
1754736448619,0.7151146,0.3799386,0.75792885
1754736448779,0.2782426,0.55850315,0.53481865
1754736448939,0.23074579,0.34818172,0.27505106
1754736449099,0.3510356,0.22141457,0.7330202
1754736449260,0.4527824,0.13573837,0.14592695
1754736449422,0.42260575,0.26185894,0.5420801
1754736449580,0.35490394,-0.1010046,0.38412878
1754736449742,0.35404968,-0.15938854,0.34716126
1754736449912,0.5046179,-0.036567688,0.277611
1754736450063,0.16621113,0.13073158,-1.2414349
1754736450224,1.1059644,0.6748128,1.3634586
1754736450381,0.02494359,1.3334951,0.8801837
1754736450541,-1.3741232,-0.56521463,-1.3225281
1754736450704,-0.6946287,0.11733866,0.66969776
1754736450862,0.7707968,0.5492282,1.4018764
1754736451025,1.1151323,0.6417141,0.2511735
1754736451190,0.32524347,0.6269841,0.71968555
1754736451342,-0.25948524,0.45076275,0.11949134
1754736451503,-0.50518274,-0.43374538,0.48733103
1754736451664,-0.7035458,-0.2317524,0.75122654
1754736451825,-0.25069618,-0.5166054,1.0251343
1754736451983,-0.5609722,-0.29209805,0.6620215
1754736452145,-0.044183254,-0.19962978,-0.36908185
1754736452304,1.4894731,2.9735756,-0.77646565
1754736452465,-0.11588764,-3.2829065,1.2076507
1754736452627,-0.6365342,-1.0771279,0.32621336
1754736452784,0.13257122,0.6471958,-0.6303334
1754736452946,-0.4768572,0.23118925,-0.7236872
1754736453111,-0.23582935,0.5618634,-0.6413932
1754736453266,-0.31628847,0.50587463,-0.31887102
1754736453426,-0.15587807,0.43162727,-0.36714506
1754736453587,-0.29402304,0.5452881,-0.58923435
1754736453746,-0.10212088,0.40464067,-0.34759474
