time,x,y,z
1754738014302,0.5701356,0.11217296,2.76678
1754738014472,3.5876234,-1.4117833,-1.1465254
1754738014635,12.248501,1.1955771,-8.571623
1754738014793,47.74449,11.130073,-15.241011
1754738014961,21.252504,-9.399458,14.2319355
1754738015109,4.603505,-4.7974253,4.487091
1754738015277,0.5814352,0.36968732,-1.6310138
1754738015443,-0.622859,0.23588079,-2.982493
1754738015599,-0.51557255,-0.020972177,-2.4671645
1754738015749,1.5603294,-0.14139698,-1.4264861
1754738015919,-0.8378792,0.21108735,-0.14012218
1754738016075,-1.2930527,0.21674359,-0.23590899
1754738016244,-1.6256213,1.5140685,-0.18384242
1754738016388,2.333397,0.45426536,0.7829941
1754738016556,0.46680927,-0.76553595,0.8910339
1754738016711,-2.390667,-0.658175,1.1499135
1754738016863,-0.9872227,0.50342584,1.1731018
1754738017038,1.7050829,-0.65794265,0.5252447
1754738017197,1.8334484,-1.3762443,-1.1844273
1754738017368,0.20022297,-1.006134,-0.94058084
1754738017513,1.9056282,-0.06259084,-0.45119238
1754738017667,2.037816,0.27384067,-0.22652626
1754738017834,0.88369274,-0.40868545,-1.0538383
1754738017998,-0.32701826,-0.4269402,0.085773945
1754738018150,0.3114791,0.60102844,0.22777128
1754738018319,0.093520164,0.40137243,0.55463266
1754738018479,-0.38303185,0.2128601,0.21632814
1754738018652,-0.27956438,0.49861288,-0.33317852
1754738018801,-0.123667955,0.052045822,0.36003017
1754738018975,0.18621051,0.627172,0.09801483
1754738019126,-0.0944179,0.17834568,0.29528856
1754738019271,-0.1552409,0.29837227,-0.21011376
1754738019429,0.4925511,0.49412823,-0.08971381
1754738019590,0.41347027,-0.5908303,-0.051883698
1754738019747,0.31515312,0.23397493,-0.061000347
1754738019910,-0.075314045,0.31731367,0.14636755
1754738020069,0.38056183,0.036138535,-0.39300036
1754738020248,-0.54717827,0.71964073,-0.3175888
1754738020402,0.58311224,-0.6186738,-0.36700225
1754738020565,0.45420933,0.27248287,-0.83394027
1754738020718,0.05513525,0.16307259,-0.36582232
1754738020878,-0.3857503,0.27984095,-0.48973823
1754738021029,0.6775751,-0.5315976,0.47389126
1754738021202,-0.1866827,-0.5195675,0.60309744
1754738021360,0.07109833,-0.6052108,0.46308184
1754738021535,-0.006136894,0.4645486,1.1047904
1754738021680,-0.4229598,-0.6360588,-0.1579566
1754738021851,1.2689061,-0.34777212,0.037209034
1754738022001,0.46059132,-0.12565899,-0.56297493
1754738022166,0.13807106,0.29167175,-1.0294857
1754738022334,0.5204649,0.7301874,-0.24127674
1754738022474,-0.6145215,0.30368853,-0.24172068
1754738022645,0.31186342,0.9367776,0.31794548
1754738022798,-0.5401354,-0.31331682,-0.37875223
1754738022962,0.22735548,-0.5893645,0.5930972
