"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.462441000E-2,-1.316414624E-1,-1.261436790E-1,1.004873365E-1
1.681529400E-2,-1.379028261E-1,-1.261436790E-1,1.015563458E-1
1.904547400E-2,-1.488984078E-1,-1.282816976E-1,1.015563458E-1
2.127716400E-2,-1.553124934E-1,-1.366810948E-1,9.896016866E-2
2.352081600E-2,-1.615738571E-1,-1.438587606E-1,9.529497474E-2
2.575848700E-2,-1.655444801E-1,-1.595885456E-1,9.025534242E-2
2.800024700E-2,-1.656972021E-1,-1.728748679E-1,8.155050874E-2
3.023151000E-2,-1.598939747E-1,-1.936442852E-1,7.666359097E-2
3.246667800E-2,-1.479821056E-1,-2.133446932E-1,6.566801667E-2
3.470245700E-2,-1.395827085E-1,-2.304489166E-1,5.711590126E-2
3.693982300E-2,-1.287398487E-1,-2.403754741E-1,4.734205827E-2
3.917670000E-2,-1.165225431E-1,-2.503020465E-1,3.894266114E-2
4.141290600E-2,-1.043052375E-1,-2.541199327E-1,3.405573592E-2
4.364917300E-2,-9.315694869E-2,-2.532036304E-1,2.687807009E-2
4.588586800E-2,-7.956519723E-2,-2.510656118E-1,2.336559631E-2
4.812390500E-2,-7.330382615E-2,-2.487748712E-1,1.970040426E-2
5.035998900E-2,-7.299839705E-2,-2.353358418E-1,1.603521220E-2
5.259540100E-2,-8.613199741E-2,-2.193006277E-1,8.704829961E-3
5.482861700E-2,-1.078177169E-1,-1.945605874E-1,6.108652335E-3
5.705621700E-2,-1.305724531E-1,-1.687515229E-1,2.443460980E-3
5.930475200E-2,-1.536326110E-1,-1.524108797E-1,-1.527163113E-4
6.154108000E-2,-1.756237596E-1,-1.423316002E-1,9.162978968E-4
6.378088700E-2,-1.867720485E-1,-1.409571618E-1,6.872233935E-3
6.601398000E-2,-1.991420686E-1,-1.455386430E-1,8.093964309E-3
6.824579200E-2,-2.064724565E-1,-1.466076523E-1,9.162978269E-3
7.048743000E-2,-2.102903575E-1,-1.488984078E-1,1.038470957E-2
7.272253700E-2,-2.078468949E-1,-1.513418704E-1,1.038470957E-2
7.495764500E-2,-2.090686262E-1,-1.466076523E-1,9.162978269E-3
7.719665900E-2,-2.099849284E-1,-1.380555481E-1,6.719517522E-3
