"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.273865000E-2,-6.125625968E-1,9.555138588E0,-1.890329868E-1
1.498315600E-2,-6.370890141E-1,9.564710617E0,-1.322034448E-1
1.722823200E-2,-6.705885530E-1,9.583852768E0,-9.391828626E-2
1.946392900E-2,-6.903293133E-1,9.565308571E0,-7.058826834E-2
2.170099000E-2,-7.094719410E-1,9.555737495E0,-5.144568533E-2
2.393701300E-2,-7.244270444E-1,9.555737495E0,-2.811566554E-2
2.617267000E-2,-7.627122402E-1,9.565906525E0,2.871387079E-2
2.840851000E-2,-7.435696125E-1,9.570094109E0,4.366901144E-2
3.064459400E-2,-7.393822074E-1,9.560523033E0,7.716853172E-2
3.288165400E-2,-7.441678643E-1,9.570094109E0,1.148554832E-1
3.511877600E-2,-7.256234884E-1,9.559925079E0,1.531406492E-1
3.735583600E-2,-7.112665176E-1,9.535996437E0,1.441675574E-1
3.959240800E-2,-6.927221417E-1,9.521040916E0,1.824527234E-1
4.182946900E-2,-6.311069727E-1,9.515059471E0,2.021935135E-1
4.406689600E-2,-6.311069727E-1,9.519845009E0,2.111666054E-1
4.630255300E-2,-5.880361795E-1,9.533603668E0,2.452643216E-1
4.853936900E-2,-5.455635786E-1,9.479764938E0,2.979064286E-1
5.077588000E-2,-4.833501875E-1,9.488140106E0,3.128615618E-1
5.301275800E-2,-4.648058116E-1,9.502496719E0,3.607180119E-1
5.524957400E-2,-4.121637046E-1,9.482157707E0,3.804588020E-1
5.748669500E-2,-3.978067636E-1,9.496515274E0,3.900300860E-1
5.972479400E-2,-3.643072546E-1,9.495916367E0,3.954139352E-1
6.196130500E-2,-3.744767308E-1,9.495916367E0,4.570291340E-1
6.419690100E-2,-3.505485058E-1,9.500103951E0,4.713860750E-1
6.643341200E-2,-3.314059377E-1,9.499505997E0,4.905286431E-1
6.867016700E-2,-3.559323549E-1,9.504889488E0,5.240281820E-1
7.090704500E-2,-3.559323549E-1,9.504291534E0,5.623133183E-1
7.314386100E-2,-3.702892959E-1,9.519247055E0,5.617151260E-1
7.538073900E-2,-3.798605800E-1,9.533005714E0,6.047859192E-1
7.761810400E-2,-3.990031779E-1,9.528818130E0,6.000002623E-1
7.985559200E-2,-4.229314029E-1,9.547960281E0,6.137589812E-1
8.209118800E-2,-4.468596280E-1,9.553344727E0,6.376872063E-1
8.432794300E-2,-4.510470629E-1,9.567701340E0,6.185446382E-1
8.656274600E-2,-4.755735099E-1,9.573084831E0,6.370890141E-1
8.879193200E-2,-4.893322289E-1,9.592227936E0,6.179464459E-1
9.102783300E-2,-5.324030519E-1,9.602396965E0,6.029912829E-1
9.327472100E-2,-5.557330847E-1,9.617352486E0,5.838487148E-1
9.551379500E-2,-5.796613097E-1,9.613164902E0,5.503492355E-1
